,Unnamed: 0,source sentence,simplified sentence,run_id,snt_id,No error,A1. Random generation,A2. Syntax error,A3. Contradiction,A4. Simple punctuation / grammar errors,A5. Redundancy,B1. Format misalignement,B2. Prompt misalignement,C1. Factuality hallucination,C2. Faithfulness hallucination,C3. Topic shift,D1.1. Overgeneralization,D1.2 Overspecification of Concepts,D2.1. Loss of Informative Content,D2.2. Out-of-Scope Generation,Commentaire,Annotator
0,0,Online social media provide users with unprecedented opportunities to engage with diverse opinions.,Online social media provide users with unprecedented opportunities to engage with different opinions.,SONAR_Task3.1_SONARnonlinreg,G07.1_2888100547_1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,A
1,1,"Based on that, we propose a Greedy Algorithm (GA), which provides a approximation ratio of $\left( {1 - 1/\sqrt e } \right)$.","""Let's use a special way to solve a problem that's not perfect, but it's close enough!""",UZH_Pandas_Task3.1_selection_with_sle,G07.1_2992149285_6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,A
2,2,Identifying antimicrobial resistant (AMR) bacteria in metagenomics samples is essential for public health and food safety.,"Finding the bad guys that make us sick, like super-strong germs, in special kinds of soil samples is super important for keeping us all safe and healthy.

(Here, ""antimicrobial resistant"" means that some germs are extra strong and don't get better when we use special medicines to make them go away. ""Metagenomics samples"" are special kinds of soil samples that have lots of tiny tiny things, like germs, inside them. ""Public health"" means keeping everyone in the community safe and healthy, and ""food safety"" means making sure our food is clean and won't make us sick.)",UZH_Pandas_Task3.1_5Y_target_with_cot,G04.3_2941964798_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,A
3,3,"Currently, a SES employee visits each health establishment to collect this information by hand, process it and type it into an electronic medical record system  this :[81],""paper, we describe the development and implementation of a personal digital assistant (PDA)-based electronic system to collect, verify and upload monthly bacteriology data into the PIH-EMR.",":[81]""In this :[81]""Paper, we describe the development and implementation of a personal digital assistant (PDA)-based electronic system to collect, verify and upload monthly bacteriology",FRANE_AND_ANDREA_Task3.1_t5,G01.1_147704292_3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,A
4,4,"CRISPulator facilitates the design of pooled genetic screens by enabling the exploration of a large space of experimental parameters in silico, rather than through costly experimental trial and error.","CRISPulator helps researchers design genetic experiments by simulating different parameters virtually, saving time and resources compared to traditional trial and error methods.",Elsevier@SimpleText_Task3.1_run7,G05.2_2951038219_8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,A
5,5,Chaotic behaviour is only displayed by dynamical systems which are either non-linear or infinite-dimensional.,"""Chaotic behavior occurs when systems with a mix of linear and non-linear interactions or those with an infinite number of interactions at once, like a system with an infinite number of particles, exhibit unpredictable and complex patterns.""

Note: I broke down the original sentence into simpler language, explaining terms like ""non-linear"" (meaning the relationship between variables is not straightforward or simple) and ""infinite-dimensional"" (meaning the system has an infinite number of variables or interactions).",UZH_Pandas_Task3.1_simple_with_cot,G08.2_1901849648_5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,A
6,6,This is somewhat surprising as the underlying assumptions of research looking at financial markets is that they behave chaotically.,"""This is surprising because the assumptions of financial market research are that they behave in a way that is extremely unpredictable and hard to understand, like a chaotic storm, rather than following a predictable pattern.""",UZH_Pandas_Task3.1_simple_with_cot,G08.2_1901849648_3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,A
7,7,"Summary form only given, as follows.","We present a design for a low-cost, high-speed communications device powered by IDT's RV4640 processor.",Elsevier@SimpleText_Task3.1_run9,G01.1_1516508996_1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,A
8,8,"Dr. Who is a Microsoft research project aiming at creating a speech-centric multimodal interaction framework, which serves as the foundation for the NET natural user interface.","Dr. Who is a special project that helps computers understand what we're saying. It's like a magic voice box that lets us talk to computers and makes them understand us! The project is trying to make a special way for us to interact with computers, kind of like a conversation. This way, we can use computers without having to type on a keyboard or click a mouse. It's like having a conversation with a friend, but with the computer!

The project is called Dr. Who, but don't worry, it's not a doctor who saves the day - it's just a name for the project. And ""multimodal"" means it's not just about talking, but also about other ways we can communicate, like gestures or facial expressions. So, it's like a superhero for computers, helping them understand us in many ways!

The project is led by Microsoft, a big company that makes computers and software. And ""natural user interface"" means it's like having a conversation with a friend, where you don't need to use special buttons or commands - it's just like talking! So, Dr. Who is making it easier for us to talk to computers and make them understand what we're saying.",UZH_Pandas_Task3.1_selection_with_lens_cot,G01.1_1522515958_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,A
9,9,The US was quick to defend its surveillance practices as necessary for national security protection.,The US promptly justified its surveillance practices as essential for protecting national security.,Elsevier@SimpleText_Task3.1_run8,G15.1_44531988_6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,A
10,10,We illustrate its power by deriving non-obvious rules for optimal screen design.,We demonstrate the effectiveness of CRISPulator by uncovering unexpected guidelines for designing optimal screens.,Elsevier@SimpleText_Task3.1_run7,G05.2_2951038219_9,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,A
11,11,"Based on their finding, Nam et al.",People found something!,UZH_Pandas_Task3.1_selection_with_sle,T16.2_1760039095_6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,A
